key,,shift,ctrl,alt,meta,shift ctrl,ctrl alt,shift ctrl alt,shift alt,shift ctrl meta alt
A,,,$SelectAll,,,GotoAction,Diff.ApplyRightSide|Diagram.DeselectAll|ChangesView.AddUnversioned,,VcsHistory.ShowAllAffected|Voice.ReferenceEntityInChatAction,
B,,Graph.AlignNodes.Bottom,GotoDeclaration|org.intellij.plugins.markdown.ui.actions.styling.ToggleBoldAction,,,GotoTypeDeclaration,GotoImplementation,DatabaseView.OpenDdlInConsole,sql.SelectInDatabaseView|tasks.open.in.browser,
C,Uml.CollapseNodes,Graph.AlignNodes.Center,Terminal.CopySelectedText|Terminal.ClearPrompt|$Copy,,,Terminal.CopySelectedText|copilot.chat.show|CopyPaths|DatabaseView.CopyDdlAction|org.intellij.plugins.markdown.ui.actions.styling.ToggleCodeSpanAction,TodoViewGroupByFlattenPackage|IntroduceConstant,statusbar.enableCompletions|CopyReference|statusbar.disableCompletions,RecentChanges,
D,,,EditorDuplicate|CompareTwoFiles|SendEOF|FileChooser.GotoDesktop|Diff.ShowDiff|Terminal.CloseSession|Compare.SameVersion,,,DownloadBackendFileToClient|Console.TableResult.CompareCells|Diff.ShowSettingsPopup|Uml.ShowDiff|JavaScript.ShowComponentUsages,UsageGrouping.DirectoryStructure|Console.TableResult.SetDefault,UML.ShowChanges|Console.TableResult.CloneColumn,hg4idea.QFold,
E,Uml.ExpandNodes,,SwitcherIterateItems|SwitcherRecentEditedChangedToggleCheckBox|RecentFiles,,,RecentLocations,PerforceDirect.Edit|Console.History.Browse|ToggleFindInSelection,TextSearchAction,Voice.ActivateVoiceAction,
F,,,Find,,,FindInPath,ShowFilterPopup|UsageGrouping.FileStructure|IntroduceField,Console.TableResult.EditFilterCriteria|TfFmtFileAction|DatabaseView.FullTextSearch,,
G,,,GotoLine,,,copilot.chat.inline,DatabaseView.SqlGenerator,DatabaseView.CopyDdlAction,hg4idea.QGotoFromPatches|EditorAddCaretPerSelectedLine,
H,,Graph.DistributeNodes.Horizontally,TypeHierarchy,,,ChangesView.ShelveSilently|MethodHierarchy,CallHierarchy,PopupHector,,
I,,,UsageFiltering.Imports|ImplementMethods|org.intellij.plugins.markdown.ui.actions.styling.ToggleItalicAction,,,CodeGPT.AddSelectionToContext|QuickImplementations,AutoIndentLines,RunInspection,CodeInspection.OnEditor,
J,,,InsertLiveTemplate,SelectNextOccurrence,,EditorJoinLines,SurroundWithLiveTemplate,SelectAllOccurrences,UnselectPreviousOccurrence,
K,,,CheckinProject,,,CodeGPT.ContextMenuInlineEditAction|Vcs.Push|CodeGPT.FloatingMenuInlineEditAction,Git.Commit.And.Push.Executor|com.anthropic.code.plugin.actions.SendToClaudeAction|Hg.Commit.And.Push.Executor,,,
L,,Graph.AlignNodes.Left,FindNext|Vcs.Log.FocusTextFilter,,,FindPrevious,ReformatCode,ShowReformatFileDialog,context.load,
M,,Graph.AlignNodes.Middle,Vcs.ShowMessageHistory|EditorScrollToCenter,Vcs.ToggleAmendCommitMode,,EditorMatchBrace,ExtractMethod|TodoViewGroupByShowModules|ChangesView.GroupBy.Module|UsageGrouping.Module,Console.TableResult.MaximizeEditingCell|CodeGPT.TriggerEditorPopup,ChangesView.Move|Vcs.MoveChangedLinesToChangelist,
N,,,copilot.diffBlock.discard|GotoClass|FileChooser.NewFolder,,,GotoFile,Inline|Git.CreateNewBranch|Console.TableResult.SetNull|Git.New.Branch.In.Log,GotoSymbol|CodeGPT.NewChat,tasks.goto,MTNextFavoriteThemeAction
O,,,OverrideMethods|ChangesView.ShowCommitOptions,ExportToTextFile,,ForceOthersToFollowAction|ExternalSystem.ProjectRefreshAction,UsageGrouping.FlattenModules|OptimizeImports,copilot.enableCopilot,SelectVirtualTemplateElement,
P,,,FileChooser.TogglePathBar|ParameterInfo,,,ExpressionTypeInfo,UsageGrouping.Directory|IntroduceParameter|ChangesView.GroupBy.Directory|TodoViewGroupByShowPackages,ReformatWithPrettierAction,hg4idea.QPushAction,MTPreviousFavoriteThemeAction
Q,,,QuickJavaDoc,EditorContextInfo,,Jdbc.OpenConsole.New,ToggleRenderedDocPresentation,Jdbc.OpenConsole.Scratch|CodeGPT.AskQuestion,WD.UploadCurrentRemoteFileAction,
R,,Graph.AlignNodes.Right,Terminal.SearchInCommandHistory|UsageFiltering.ReadAccess|Replace,,,ReplaceInPath,Diff.ApplyLeftSide,,RerunTests,
S,,,SaveAll,,,SaveAs|org.intellij.plugins.markdown.ui.actions.styling.ToggleStrikethroughAction|Github.PullRequest.Changed.MarkViewed.Toggle,ShowSettings,statusbar.stopServer|statusbar.startServer|ShowProjectStructureSettings,context.save,
T,,Graph.AlignNodes.Top,Vcs.UpdateProject,,,ServiceView.ShowServices|Terminal.NewTab|GotoTest,SurroundWith|UsageGrouping.UsageType|ServiceView.GroupByContributor,Refactorings.QuickListPopupAction,tasks.switch,
